"title","price","category","url","sourceUrl","query","popularity","score","item_popularity"
"Гарний плюшевий ведмедик у подарунок ведмідь 160 см м'які іграшки ведмеді подарунки на день народження дівчині",1772,"Іграшки","https://prom.ua/ua/m-5783494779697072689-krasivyj-plyushevyj-mishka.html","https://prom.ua/ua/Podarki-na-den-rozhdeniya-devushke.html","Подарунки на день народження для дівчат",662000,10,631
"Великий Плюшевий ведмідь 200 см Молочний, Ведмедики 2 метри, подарунок для дівчини на день народження",1929,"Жінкам","https://prom.ua/ua/m-6277568930160659052-bolshoj-plyushevyj-medved.html","https://prom.ua/ua/Podarki-na-den-rozhdeniya-devushke.html","Подарунки на день народження для дівчат",662000,10,505
"Великий плюшевий ведмедик у подарунок 180 см жіночі подарунки до 8 березня подарує дівчині на день народження.",1829,"Жінкам","https://prom.ua/ua/m-8989025193549412842-bolshoj-plyushevyj-mishka.html","https://prom.ua/ua/Podarki-na-den-rozhdeniya-devushke.html","Подарунки на день народження для дівчат",662000,10,170
"Неокуб, neocube 5 мм (Код:00068)",333,"Інші подарунки","https://podarki-odessa.com/uk/neokub/neocube-5mm.html","https://podarki-odessa.com/uk/dlja-devushek/den-rojdeniya/","Подарунки на день народження для дівчат",662000,9.3,272
"Обертовий нічник проектор зоряного неба (Код:00254)",218,"Інші подарунки","https://podarki-odessa.com/uk/nochniki-svetilniki-i-proektori/vrashhajushhijsja-nochnik-proektor.html","https://podarki-odessa.com/uk/dlja-devushek/den-rojdeniya/","Подарунки на день народження для дівчат",662000,9.3,155
"Книга сейф (Код:00334)",608,"Інші подарунки","https://podarki-odessa.com/uk/knigi-sejfy/kniga-sejf-mid.html","https://podarki-odessa.com/uk/dlja-devushek/den-rojdeniya/","Подарунки на день народження для дівчат",662000,9.3,7
"Скретч карта світу My Map Black Edition Mini (Код:01009)",499,"Інші подарунки","https://podarki-odessa.com/uk/scratch-karty/my-map-black-edition-mini.html","https://podarki-odessa.com/uk/dlja-devushek/den-rojdeniya/","Подарунки на день народження для дівчат",662000,9.3,221
"Неокуб 5 мм «Веселка» (Код:00956)",333,"Інші подарунки","https://podarki-odessa.com/uk/neokub/neocube-5mm-raduga.html","https://podarki-odessa.com/uk/dlja-devushek/den-rojdeniya/","Подарунки на день народження для дівчат",662000,9.3,137
"Star Master Проектор Зоряного Неба (Код:00070)",113,"Інші подарунки","https://podarki-odessa.com/uk/nochniki-svetilniki-i-proektori/star-master.html","https://podarki-odessa.com/uk/dlja-devushek/den-rojdeniya/","Подарунки на день народження для дівчат",662000,9.3,319
"Лава лампа 41 см (Код:00169)",659,"Інші подарунки","https://podarki-odessa.com/uk/nochniki-svetilniki-i-proektori/lava-lampa-41.html","https://podarki-odessa.com/uk/dlja-devushek/den-rojdeniya/","Подарунки на день народження для дівчат",662000,9.3,207
"Скандинавський 3д кухоль вікінг (400 мл)",1766,"Інші подарунки","https://stall.ua/uk/product/24064/","https://stall.ua/uk/category/79/","Оригінальні подарунки для чоловіків",598000,6.5,354
"Глобус на магнітному полі з підсвічуванням від мережі 220 В",1656,"Інші подарунки","https://stall.ua/uk/product/992/","https://stall.ua/uk/category/79/","Оригінальні подарунки для чоловіків",598000,6.5,250
"Будильник мішень з лазерним пістолетом (будильник тир)",2180,"Інші подарунки","https://stall.ua/uk/product/792/","https://stall.ua/uk/category/79/","Оригінальні подарунки для чоловіків",598000,6.5,2600
"Чоловічий подарунковий набір з парасолькою та термосом з датчиком температури",2415,"Подарункові набори","https://stall.ua/uk/product/6421/","https://stall.ua/uk/category/79/","Оригінальні подарунки для чоловіків",598000,6.5,220
